Tree,Site,Range,Fire history,Forest type,Species Richness,Shannon's diversity
F1,sc3,santa.catalina,burned,pine oak,9,2.094729048
F10,sc4,santa.catalina,burned,pine oak,6,1.747868097
F11,p3,pinaleno,burned,pine df,6,1.791759469
F12,p3,pinaleno,burned,pine df,7,1.945910149
F13,p3,pinaleno,burned,pine df,11,2.36938212
F14,p3,pinaleno,burned,pine df,6,1.791759469
F15,p3,pinaleno,burned,pine df,10,2.25385759
F16,p4,pinaleno,burned,pine df,7,1.906154747
F17,p4,pinaleno,burned,pine df,6,1.747868097
F18,p4,pinaleno,burned,pine df,10,2.210253578
F19,p4,pinaleno,burned,pine df,6,1.735126457
F2,sc3,santa.catalina,burned,pine oak,8,1.907283999
F20,p4,pinaleno,burned,pine df,7,1.886696785
F3,sc3,santa.catalina,burned,pine oak,10,2.205598359
F4,sc3,santa.catalina,burned,pine oak,10,2.302585093
F5,sc3,santa.catalina,burned,pine oak,10,2.25385759
F6,sc4,santa.catalina,burned,pine oak,6,1.695742534
F7,sc4,santa.catalina,burned,pine oak,7,1.907283999
F8,sc4,santa.catalina,burned,pine oak,6,1.747868097
F9,sc4,santa.catalina,burned,pine oak,5,1.560710409
LB019,sc1,santa.catalina,unburned,pine oak,4,1.277034259
LB020,sc1,santa.catalina,unburned,pine oak,6,1.676987774
LB021,sc1,santa.catalina,unburned,pine oak,3,1.098612289
LB023,sc1,santa.catalina,unburned,pine oak,8,2.025326221
LB024,sc1,santa.catalina,unburned,pine oak,5,1.386294361
LB055,sc2,santa.catalina,unburned,pine oak,8,2.025326221
LB056,sc2,santa.catalina,unburned,pine oak,6,1.747868097
LB057,sc2,santa.catalina,unburned,pine oak,6,1.732867951
LB058,sc2,santa.catalina,unburned,pine oak,9,2.138397246
LB059,sc2,santa.catalina,unburned,pine oak,8,2.043191871
LB060,sc2,santa.catalina,unburned,pine oak,5,1.559581156
NF11,p1,pinaleno,unburned,pine,8,2.025326221
NF12,p1,pinaleno,unburned,pine,5,1.560710409
NF13,p1,pinaleno,unburned,pine,6,1.667461933
NF14,p1,pinaleno,unburned,pine,8,2.025326221
NF15,p1,pinaleno,unburned,pine,7,1.767761472
NF16,p2,pinaleno,unburned,pine oak,3,1.039720771
NF17,p2,pinaleno,unburned,pine oak,7,1.886696785
NF18,p2,pinaleno,unburned,pine oak,6,1.676987774
NF19,p2,pinaleno,unburned,pine oak,2,0.693147181
NF20,p2,pinaleno,unburned,pine oak,8,2.025326221
