Fire history,Genus,Count
burned,Amanita,4
unburned,Amanita,4
burned,Amphinema,3
unburned,Amphinema,2
burned,Cenococcum,30
unburned,Cenococcum,24
burned,Cortinarius,0
unburned,Cortinarius,5
burned,Helvella,4
unburned,Helvella,6
burned,Hydnobolites,6
unburned,Hydnobolites,3
burned,Inocybe,10
unburned,Inocybe,7
burned,Laccaria,0
unburned,Laccaria,6
burned,Lactarius,12
unburned,Lactarius,14
burned,Peziza,5
unburned,Peziza,5
burned,Phialocephala,4
unburned,Phialocephala,9
burned,Rhizopogon,4
unburned,Rhizopogon,7
burned,Russula,35
unburned,Russula,30
burned,Sebacina,10
unburned,Sebacina,5
burned,Sistotrema,9
unburned,Sistotrema,3
burned,Suillus,8
unburned,Suillus,1
burned,Tomentella,19
unburned,Tomentella,17
burned,Tuber,5
unburned,Tuber,12
