tree_number,site,elevation,lat,long,pH.su,EC.ds.m,ca.ppm,mg.ppm,na.ppm,k.ppm,zn.ppm,fe.ppm,mn.ppm,cu.ppm,ni.ppm,no3.n.ppm,po4.p.ppm,so4.s.ppm,b.ppm,esp,cec.meq.100g
F1,sc3,2183.6,32.396191,-110.693853,5.9,0.08,650,95,16,77,9.7,49,17,1.3,0.055,1.6,8.6,2.4,0.55,1.6,4.3
F2,sc3,2183.6,32.396191,-110.693853,5.8,0.08,580,75,9,96,7,38,23,1.3,0.032,0,13,2.5,0.48,1,3.8
F3,sc3,2183.6,32.396191,-110.693853,5.3,0.04,310,42,10,46,2,31,43,1.1,0.026,2.8,8.3,3,0.49,2.1,2.1
F8,sc4,2181.8,32.395285,-110.703927,5,0.05,330,55,11,75,2.3,38,26,0.76,0.037,3.5,8.3,2.1,0.46,2,2.3
F9,sc4,2181.8,32.395285,-110.703927,4.1,0.09,370,56,11,100,5.6,150,28,7,0.21,1.5,8.4,7.2,0.61,1.8,2.6
F10,sc4,2181.8,32.395285,-110.703927,5,0.1,380,54,21,74,2.8,83,37,1.1,0.054,0,10,3.3,0.44,3.5,2.6
LB024,sc1,2170,32.39001,-110.69557,5.1,0.04,230,37,6.8,35,2.5,42,30,0.92,0.04,<1.0,6.6,18,0.2,1.9,1.6
LB055,sc2,2201,32.39421,-110.69052,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,<1.0,6.5,19,0.2,1.8,1.9
LB059,sc2,2201,32.39421,-110.69052,5.1,0.03,420,61,10,90,4.4,71,36,1.4,0.1,<1.0,6.4,19,0.32,1.5,2.9
LB057,sc2,2201,32.39421,-110.69052,4.8,0.04,300,44,6.4,46,2,65,24,0.98,0.06,<1.0,4,19,0.27,1.4,2
LB023,sc1,2170,32.39001,-110.69557,5.2,0.05,250,37,9.2,63,2,78,12,0.76,0.05,<1.0,6.2,21,0.17,2.3,1.8
LB020,sc1,2170,32.39001,-110.69557,5.4,0.09,650,65,14,74,8.4,71,89,7,0.18,0.88,14,4.8,0.36,1.5,4
F11,p3,2134,32.73569,-109.96309,7.3,0.15,2800,110,14,200,1,60,15,4.3,0.11,4.9,11,3.4,0.63,0.4,15.5
F12,p3,2134,32.73569,-109.96309,6.3,0.12,1700,150,8.3,190,1.9,69,13,3.8,0.2,7.8,19,4.5,0.65,0.4,10.3
F13,p3,2134,32.73569,-109.96309,6.1,0.09,1300,190,11,200,0.4,66,8.5,1.5,0.2,5.5,8.6,3.6,0.48,0.6,8.6
F16,p4,2057,32.73434,-109.85724,5.4,0.08,860,100,9.2,130,2.1,75,55,2.5,0.22,4.7,8,5.1,0.31,0.7,5.5
F17,p4,2057,32.73434,-109.85724,5.9,0.05,560,72,8.5,68,0.3,33,7,0.9,0.11,3.3,17,1.9,0.19,1,3.6
F18,p4,2057,32.73434,-109.85724,5.2,0.1,590,140,11,130,1,62,22,5.5,0.16,4.4,4.1,4.5,0.36,1.1,4.5
NF11,p1,2085,32.64636,-109.82231,4.2,0.21,590,89,12,82,2.6,150,47,3.4,0.17,4.9,4.4,15,0.45,1.3,4
NF12,p1,2085,32.64636,-109.82231,4.6,0.15,420,68,12,62,2.2,140,20,2.2,0.09,4.4,0.49,6,0.26,1.8,2.9
NF13,p1,2085,32.64636,-109.82231,4.8,0.1,910,150,11,140,5.4,150,140,9.4,0.38,4,1.9,7.1,0.41,0.8,6.2
NF16,p2,2037,32.63644,-109.81993,5.3,0.1,620,110,12,83,1.5,60,25,4.1,0.3,3.3,1.1,5.9,0.31,1.2,4.3
NF17,p2,2037,32.63644,-109.81993,5.1,0.1,1000,210,15,130,2.1,140,38,5.2,0.53,5.6,3.3,9.5,0.49,0.9,7.1
NF18,p2,2037,32.63644,-109.81993,5.7,0.08,610,120,58,77,0.3,42,7.1,1.9,0.18,3.7,4.3,3.2,0.23,5.6,4.5
