OTU_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
otu5,Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum,Cenococcum,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:1256688"
otu15,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu6,Basidiomycota;Agaricomycetes;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu8,Ascomycota;Leotiomycetes;Helotiales;Vibrisseaceae;Phialocephala,Phialocephala,13,Symbiotroph,Endophyte,Highly Probable,NULL,NULL,"Dark Septate Endophyte, known from plant roots.",Newsham 2011. New Phytologist 190:783-793 (as DSE)
otu26,Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber,Tuber,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Gasteroid,Hypogeous,Common name - true truffle,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu28,Ascomycota;Pezizomycetes;Pezizales;Helvellaceae;Helvella,Helvella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu43,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius,Lactarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,Common name - milk-cap,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu31,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu33,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA,Russulaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid-Corticioid-Gasteroid-Secotioid,NULL,"The genera Lactarius, Lactifluus, Multifurca and Russula form a mutualistic ectomycorrhizal root symbiosis with trees and shrubs, while the corticioid species in Boidinia, Gloeopeniophorella, and Pseudoxenasma are saprotrophic, wood-degrading fungi.","Larsson E, K-H Larsson. 2003. Mycologia 95:1037-1065"
otu37,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Hydnobolites,Hydnobolites,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263"
otu38,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu39,Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus,Suillus,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Boletoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu56,Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber,Tuber,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Gasteroid,Hypogeous,Common name - true truffle,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu19,Basidiomycota;Agaricomycetes;Boletales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu27,NA;NA;NA;NA;NA,-,-,-,-,-,-,-,Unassigned,-
otu1,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius,Lactarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,Common name - milk-cap,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu82,Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Wilcoxina,Wilcoxina,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Pezizoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu9,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula,Russula,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu97,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu110,Basidiomycota;Agaricomycetes;Agaricales;NA;NA,-,-,-,-,-,-,-,Unassigned,-
