OTU_ID	F1	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F2	F20	F3	F4	F5	F6	F7	F8	F9	LB019	LB020	LB021	LB023	LB024	LB055	LB056	LB057	LB058	LB059	LB060	NF11	NF12	NF13	NF14	NF15	NF16	NF17	NF18	NF19	NF20	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
otu5	3	1	1	1	1	1	1	2	2	1	0	2	0	1	1	2	1	2	2	1	2	2	1	0	1	1	0	1	1	2	2	0	1	1	1	1	0	0	0	0	0	Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum	Cenococcum	13	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688"
otu15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	4	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	Russula	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu6	1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;NA;NA;NA	-	-	-	-	-	-	-	Unassigned	-
otu8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	2	1	0	1	Ascomycota;Leotiomycetes;Helotiales;Vibrisseaceae;Phialocephala	Phialocephala	13	Symbiotroph	Endophyte	Highly Probable	NULL	NULL	"Dark Septate Endophyte, known from plant roots."	Newsham 2011. New Phytologist 190:783-793 (as DSE)
otu26	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber	Tuber	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	Hypogeous	Common name - true truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu28	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	Ascomycota;Pezizomycetes;Pezizales;Helvellaceae;Helvella	Helvella	13	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	1	2	0	2	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius	Lactarius	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Common name - milk-cap	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	Russula	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA	Russulaceae	9	Symbiotroph	Ectomycorrhizal	Probable	Agaricoid-Corticioid-Gasteroid-Secotioid	NULL	"The genera Lactarius, Lactifluus, Multifurca and Russula form a mutualistic ectomycorrhizal root symbiosis with trees and shrubs, while the corticioid species in Boidinia, Gloeopeniophorella, and Pseudoxenasma are saprotrophic, wood-degrading fungi."	"Larsson E, K-H Larsson. 2003. Mycologia 95:1037-1065"
otu37	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Hydnobolites	Hydnobolites	13	Symbiotroph	Ectomycorrhizal	Highly Probable	NULL	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263"
otu38	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	Russula	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu39	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus	Suillus	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Boletoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber	Tuber	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Gasteroid	Hypogeous	Common name - true truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	Basidiomycota;Agaricomycetes;Boletales;NA;NA	-	-	-	-	-	-	-	Unassigned	-
otu27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	NA;NA;NA;NA;NA	-	-	-	-	-	-	-	Unassigned	-
otu1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius	Lactarius	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Common name - milk-cap	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu82	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Wilcoxina	Wilcoxina	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Pezizoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu9	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	Russula	13	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu97	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA	Thelephoraceae	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Probable	Clavarioid	NULL	"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Basidiomycota;Agaricomycetes;Agaricales;NA;NA	-	-	-	-	-	-	-	Unassigned	-
