otu,phylum,class,order,family,genus,species
otu40,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,NA
otu24,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,NA
otu20,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,NA,NA
otu2,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,NA
otu42,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,Archaeorhizomyces_borealis_SH1566366.08FU
otu115,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Amphinema,Amphinema_byssoides_SH1648320.08FU
otu14,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Amphinema,NA
otu53,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,NA,NA
otu4,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Pseudocraterellus,NA
otu5,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,NA
otu21,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,NA
otu36,Basidiomycota,Agaricomycetes,Cantharellales,Clavulinaceae,Clavulina,Clavulina_cinerea_SH1546073.08FU
otu48,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_mucosus_SH1855743.08FU
otu37,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Hydnobolites,NA
otu55,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA
otu28,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,Helvella_macropus_SH1564186.08FU
otu79,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Hydnobolites,NA
otu66,Basidiomycota,Agaricomycetes,Hysterangiales,NA,NA,NA
otu63,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
otu77,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,Hygrophorus_chrysodon_SH1188738.08FU
otu68,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
otu81,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
otu88,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
otu64,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
otu45,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,NA
