tree1,tree2,dissimilarity,fire.history.1,fire.history.2,comp.fire,range.1,range.2,comp.range
NF11,NF11,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF12,NF11,0.988439306,unburned,unburned,Same,pinaleno,pinaleno,Same
NF13,NF11,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF14,NF11,0.995073892,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF11,0.988483685,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF11,0.975903614,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF11,0.967213115,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF11,0.985148515,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF11,0.989189189,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF11,0.992932862,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
NF12,NF12,0,unburned,unburned,Same,pinaleno,pinaleno,Same
