tree1,tree2,dissimilarity,fire.history.1,fire.history.2,comp.fire,range.1,range.2,comp.range
NF11,NF11,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF12,NF11,0.991150648,unburned,unburned,Same,pinaleno,pinaleno,Same
NF13,NF11,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF14,NF11,0.998848096,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF11,0.991935319,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF11,0.993538747,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF11,0.967230686,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF11,0.967590775,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF11,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF11,0.979068862,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF11,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF11,0.998628677,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF11,1,burned,unburned,Different,santa.catalina,pinaleno,Different
NF12,NF12,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF13,NF12,0.937721037,unburned,unburned,Same,pinaleno,pinaleno,Same
NF14,NF12,0.889418901,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF12,0.638364808,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF12,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF12,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF12,1,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF12,0.99179989,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF12,0.987626848,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF12,0.9917604,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF12,0.955086004,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF12,0.983434001,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF12,0.903733545,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF12,0.975771045,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF12,0.930785294,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF12,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF12,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF12,0.995453982,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF12,0.965349355,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF12,0.993088067,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF12,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF12,0.97230315,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF12,0.956640642,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF12,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF12,0.966284025,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF12,0.995940239,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF12,0.909500731,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF12,0.952799426,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF12,0.893364815,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF12,0.895962007,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF12,0.693703936,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF12,0.833798914,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF12,0.959638607,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF12,0.98579629,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF12,0.804789653,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF12,0.958432497,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF12,0.975494322,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF12,0.835554669,burned,unburned,Different,santa.catalina,pinaleno,Different
NF13,NF13,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF14,NF13,0.953669951,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF13,0.834587841,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF13,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF13,1,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF13,1,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF13,0.99874172,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF13,0.99805929,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF13,0.998013589,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF13,0.993066374,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF13,0.997457762,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF13,0.985192443,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF13,0.996228454,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF13,0.98934997,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF13,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF13,0.999418657,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF13,0.999251103,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF13,0.994439189,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF13,0.998836385,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF13,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF13,0.995602661,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF13,0.991942686,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF13,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF13,0.994845724,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF13,0.999369577,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF13,0.981962129,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF13,0.992494679,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF13,0.983337209,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF13,0.983569169,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF13,0.867218343,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF13,0.945561034,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF13,0.993918617,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF13,0.997781811,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF13,0.916482154,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF13,0.991410164,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF13,0.994157628,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF13,0.953702459,burned,unburned,Different,santa.catalina,pinaleno,Different
NF14,NF14,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF15,NF14,0.72819391,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF14,0.989562809,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF14,0.943596444,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF14,0.909004714,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF14,0.995869206,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF14,0.994028693,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF14,0.995624201,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF14,0.977646388,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF14,0.988180037,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF14,0.951741546,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF14,0.988135939,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF14,0.840679387,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF14,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF14,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF14,0.997988475,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF14,0.983965027,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF14,0.99704635,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF14,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF14,0.954836604,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF14,0.948665852,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF14,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF14,0.982885956,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF14,0.954505791,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF14,0.889147645,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF14,0.939298996,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF14,0.944854425,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF14,0.948144267,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF14,0.747340204,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF14,0.8656217,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF14,0.978882686,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF14,0.993088375,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF14,0.845072639,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF14,0.948833015,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF14,0.904520398,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF14,0.89531508,burned,unburned,Different,santa.catalina,pinaleno,Different
NF15,NF15,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF17,NF15,0.985854809,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF15,0.923067073,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF15,0.904681968,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF15,0.993315705,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF15,0.989594856,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF15,0.993517013,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF15,0.963074203,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF15,0.986494466,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF15,0.921259502,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF15,0.979843954,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF15,0.943359706,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF15,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF15,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF15,0.995896531,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF15,0.969887338,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF15,0.99355934,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF15,0.977410241,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF15,0.974951136,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF15,0.964735935,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF15,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF15,0.97266154,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF15,0.99493631,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF15,0.899376062,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF15,0.959521688,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF15,0.910673271,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF15,0.911550538,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF15,0.223293251,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF15,0.694754225,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF15,0.967067752,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF15,0.988129119,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF15,0.518523974,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF15,0.964893282,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF15,0.979589664,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF15,0.739258535,burned,unburned,Different,santa.catalina,pinaleno,Different
NF17,NF17,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF17,0.934818897,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF17,0.908814284,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF17,0.912638577,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF17,0.481030461,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF17,0.991152028,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF17,0.982622408,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF17,0.99701366,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF17,0.996220729,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF17,0.988293648,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF17,0.999706415,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF17,0.999790311,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF17,0.997451697,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
NF18,NF18,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF18,0.542355278,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF18,0.738126366,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF18,0.980606203,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF18,0.710731822,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF18,0.986391058,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF18,0.929127923,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF18,0.981542791,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF18,0.998594298,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF18,0.999028781,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF18,0.98713851,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
NF20,NF20,0,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF20,0.958214402,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF20,0.90592926,burned,unburned,Different,pinaleno,pinaleno,Same
