sample,range,burn_status,site,tree_numer,sample_number,description,morpho_tip_number,total_col_per_core,total_root_tips_per_core,dry_root_weight_per_core_grams,questionable_host,comment
F1A,santa.catalina,burned,SC1,F1,F1AA,"Red/Brown, singular, white tip",,171,288,5.64,,
F1A,santa.catalina,burned,SC1,F1,F1AB,"Black, biferating",,171,288,5.64,,
F1A,santa.catalina,burned,SC1,F1,F1AC,Tan w/ black spots,,171,288,5.64,,
F1A,santa.catalina,burned,SC1,F1,F1AD,"Light top, singular, crusty",,171,288,5.64,,
F1A,santa.catalina,burned,SC1,F1,F1AE,"Tan/orange, smooth and pearly mantle",,171,288,5.64,,
F1A,santa.catalina,burned,SC1,F1,F1AF,"Black, branchy, pearly smooth",,171,288,5.64,,
F1A,santa.catalina,burned,SC1,F1,F1AG,"Bown/black, singular, crusty",,171,288,5.64,,
F1B,santa.catalina,burned,SC1,F1,F1BA,Tan/orange singular,,68,NA,4.05,,
F1B,santa.catalina,burned,SC1,F1,F1BB,Black tan orange,,68,NA,4.05,,
F1B,santa.catalina,burned,SC1,F1,F1BC,Skinny black,,68,NA,4.05,,
F1B,santa.catalina,burned,SC1,F1,F1BD,Orangish yellow crusty,,68,NA,4.05,,
F1B,santa.catalina,burned,SC1,F1,F1BE,White yellow,,68,NA,4.05,,
F1B,santa.catalina,burned,SC1,F1,F1BF,"Black brown, skinny, crusty",,68,NA,4.05,,
F1C,santa.catalina,burned,SC1,F1,F1CA,"Black, crusty, branched",,101,314,2.63,,
F1C,santa.catalina,burned,SC1,F1,F1CB,Light brown w/ yellow tip,,101,314,2.63,,
F1C,santa.catalina,burned,SC1,F1,F1CC,Orange yellow,,101,314,2.63,,
F1C,santa.catalina,burned,SC1,F1,F1CD,"Dark green, straight",,101,314,2.63,,
F1C,santa.catalina,burned,SC1,F1,F1CE,Yellow/ dark green,,101,314,2.63,,
F1C,santa.catalina,burned,SC1,F1,F1CF,"Black, crusty, yellow tip",,101,314,2.63,,
F2A,santa.catalina,burned,SC1,F2,F2AA,"Black, abundant hyphae, double branched",,136,340,4.69,,
F2A,santa.catalina,burned,SC1,F2,F2AB,"Dark green, irregular branched",,136,340,4.69,,
F2A,santa.catalina,burned,SC1,F2,F2AC,Green w/ yellow tip,,136,340,4.69,,
F2A,santa.catalina,burned,SC1,F2,F2AD,"Brown, cluster, coralloid",,136,340,4.69,,
F2A,santa.catalina,burned,SC1,F2,F2AE,"Orange/ tan, irregular branched",,136,340,4.69,,
F2B,santa.catalina,burned,SC1,F2,F2BA,"Black, hyphae abundant, double branched",,76,403,2.92,,
F2B,santa.catalina,burned,SC1,F2,F2BB,"Light green, branched",,76,403,2.92,,
F2B,santa.catalina,burned,SC1,F2,F2BC,"Orange/brown, branched",,76,403,2.92,,
F2B,santa.catalina,burned,SC1,F2,F2BD,"Dark orange, white tip",,76,403,2.92,,
F2B,santa.catalina,burned,SC1,F2,F2BE,"Yellow, short and chunky",,76,403,2.92,,
F2B,santa.catalina,burned,SC1,F2,F2BF,Brown and black branches,,76,403,2.92,,
F2C,santa.catalina,burned,SC1,F2,F2CA,"Light orange, branchy",,75,204,2.76,,
F2C,santa.catalina,burned,SC1,F2,F2CB,Light tan w/ white tip,,75,204,2.76,,
F2C,santa.catalina,burned,SC1,F2,F2CC,"Dark green, singluar",,75,204,2.76,,
F2C,santa.catalina,burned,SC1,F2,F2CD,"Brown/dark orange, singular white tip",,75,204,2.76,,
F3A,santa.catalina,burned,SC1,F3,NA,NA,NA,NA,NA,1.37,,
F3B,santa.catalina,burned,SC1,F3,F3BA,"Black, branchy, mantle smooth",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BB,"Black, crusty, lighter tips",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BC,"Red/Brown, singular or y branched",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BD,"Grayish tan, pearly mantle, branchy",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BE,"Tan w/ darker spots, hyphae",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BF,"Grayish black, dense, brown hyphae",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BG,"Tan, bumpy, thick cottony hyphae",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BH,"Grayish mantle, large cluster",,239,317,6.62,,
F3B,santa.catalina,burned,SC1,F3,F3BI,"Grayish brown, dense cluster",,239,317,6.62,,
F3C,santa.catalina,burned,SC1,F3,F3CA,"Brown, branchy, min hyphae",,135,255,4.99,,
F3C,santa.catalina,burned,SC1,F3,F3CB,"Black mantle, black hyphae",,135,255,4.99,,
F3C,santa.catalina,burned,SC1,F3,F3CC,"Tan w/ darker spots, pearly mantle",,135,255,4.99,,
F3C,santa.catalina,burned,SC1,F3,F3CD,"Brown, dense cluster",,135,255,4.99,,
F3C,santa.catalina,burned,SC1,F3,F3CE,"Brown, very dense white hyphae",,135,255,4.99,,
F3C,santa.catalina,burned,SC1,F3,F3CF,"Brown, white tips",,135,255,4.99,,
F3C,santa.catalina,burned,SC1,F3,F3CG,"Black brown, y branchy, smooth",,135,255,4.99,,
F4A,santa.catalina,burned,SC1,F4,F4AA,"Orange/dark orange, singular, white tip",,94,243,4.35,,
