OTU.95,Sampling_number,taxonomy_class,taxonomy_genus,microsite
OTU1,F1CE,Agaricomycetes,Lactarius,Uphill
OTU1,F2AC,Agaricomycetes,Lactarius,Downhill
OTU1,F1CC,Agaricomycetes,Lactarius,Uphill
OTU2,PM191C,Agaricomycetes,Amanita,
OTU2,F2AE,Agaricomycetes,Amanita,Downhill
OTU3,F3BA,Agaricomycetes,Tomentella,Parallel
OTU4,F4BD,Agaricomycetes,,Parallel
OTU5,PM191B,Dothideomycetes,Cenococcum,
OTU5,PM211A,Dothideomycetes,Cenococcum,
OTU5,PM593B,Dothideomycetes,Cenococcum,
OTU5,F9AA,Dothideomycetes,Cenococcum,Downhill
OTU5,F5BD,Dothideomycetes,Cenococcum,Parallel
OTU5,PM242D,Dothideomycetes,Cenococcum,
OTU5,PM601B,Dothideomycetes,Cenococcum,
OTU5,F1BF,Dothideomycetes,Cenococcum,Parallel
OTU5,F3CB,Dothideomycetes,Cenococcum,Uphill
OTU5,F4CA,Dothideomycetes,Cenococcum,Uphill
OTU5,F7AA,Dothideomycetes,Cenococcum,Downhill
OTU5,F8BB,Dothideomycetes,Cenococcum,Parallel
OTU5,PM603B,Dothideomycetes,Cenococcum,
OTU5,PM573A,Dothideomycetes,Cenococcum,
OTU5,PM591A,Dothideomycetes,Cenococcum,
OTU5,PM192C,Dothideomycetes,Cenococcum,
OTU5,PM202B,Dothideomycetes,Cenococcum,
OTU5,PM582G,Dothideomycetes,Cenococcum,
OTU5,PM552A,Dothideomycetes,Cenococcum,
OTU5,F8BA,Dothideomycetes,Cenococcum,Parallel
OTU5,F6AA,Dothideomycetes,Cenococcum,Downhill
OTU5,F10CD,Dothideomycetes,Cenococcum,Uphill
OTU5,F5CA,Dothideomycetes,Cenococcum,Uphill
OTU5,F2BA,Dothideomycetes,Cenococcum,Parallel
OTU5,PM203E,Dothideomycetes,Cenococcum,
OTU5,F2AA,Dothideomycetes,Cenococcum,Downhill
OTU5,F1CA,Dothideomycetes,Cenococcum,Uphill
OTU5,F7BA,Dothideomycetes,Cenococcum,Parallel
OTU5,F1AB,Dothideomycetes,Cenococcum,Downhill
OTU6,PM233C,Agaricomycetes,,
OTU6,PM233D,Agaricomycetes,,
OTU6,F6CD,Agaricomycetes,,Uphill
OTU6,F8BD,Agaricomycetes,,Parallel
OTU6,F4AD,Agaricomycetes,,Downhill
OTU6,F3CF,Agaricomycetes,,Uphill
OTU6,PM593F,Agaricomycetes,,
OTU6,F3BC,Agaricomycetes,,Parallel
OTU6,F5CD,Agaricomycetes,,Uphill
OTU6,F1AD,Agaricomycetes,,Downhill
OTU7,F1AF,Agaricomycetes,Russula,Downhill
OTU8,PM243A,Leotiomycetes,Phialocephala,
OTU8,F2AD,Leotiomycetes,Phialocephala,Downhill
OTU8,PM581D,Leotiomycetes,Phialocephala,
OTU8,F1AG,Leotiomycetes,Phialocephala,Downhill
OTU9,F2CA,Agaricomycetes,Russula,Uphill
OTU9,F2CD,Agaricomycetes,Russula,Uphill
OTU9,F2BC,Agaricomycetes,Russula,Parallel
OTU9,F2CB,Agaricomycetes,Russula,Uphill
OTU9,F1BA,Agaricomycetes,Russula,Parallel
OTU10,PM213A,Agaricomycetes,Sebacina,
OTU10,F1CB,Agaricomycetes,Sebacina,Uphill
OTU11,F1CF,Agaricomycetes,Tomentella,Uphill
OTU12,PM561A,Agaricomycetes,Inocybe,
