root.core,colonized.root.tips,total.root.tips,dry.root.weight
F1A,171,288,5.64
F1B,68,NA,4.05
F1C,101,314,2.63
F2A,136,340,4.69
F2B,76,403,2.92
F2C,75,204,2.76
F3A,NA,NA,1.37
F3B,239,317,6.62
F3C,135,255,4.99
F4A,94,243,4.35
F4B,111,327,5.63
F4C,113,269,8.66
F5A,17,27,1.77
F5B,79,119,5.87
F5C,105,299,6.23
F6A,88,191,2.59
F6B,90,234,4.53
F6C,70,109,3.71
F7A,2,43,1.31
F7B,159,216,1.97
F7C,165,205,1.73
F8A,10,15,3.49
F8B,77,98,4.21
F8C,127,138,1.96
F9A,25,52,19.39
F9B,17,25,6.15
F9C,19,60,1.23
F10A,30,71,3.06
F10B,76,155,4.69
F10C,58,103,4.04
