tree_number,site,species,group,topography,morphotypes,root_weight.g,species_richness,s,n,fishers_alpha,root.tips.em,abund.em,elevation
LB019,Parking pullout South of Rose Canyon,Pinus Ponderosa,Low elev.,Divergent,8,7.649,5,5,7,7.675052411,76,9.935939338,2170
LB020,Parking pullout South of Rose Canyon,Pinus Ponderosa,Low elev.,Divergent,10,2.864,6,6,9,8.013232514,233,81.3547486,2170
LB021,Parking pullout South of Rose Canyon,Pinus Ponderosa,Low elev.,Convergent,3,6.267,3,3,3,2997,80,12.76527844,2170
LB023,Parking pullout South of Rose Canyon,Pinus Ponderosa,Low elev.,Convergent,11,6.691,8,8,10,18.57142857,144,21.52144672,2170
LB024,Parking pullout South of Rose Canyon,Pinus Ponderosa,Low elev.,Divergent,9,4.162,5,5,7,7.675052411,153,36.76117251,2170
LB055,Rose Canyon Rd.,Pinus Ponderosa,Low elev.,Convergent,15,7.866,8,8,10,18.57142857,244,31.01957793,2201
LB056,Rose Canyon Rd.,Pinus Ponderosa,Low elev.,Divergent,13,7.828,8,8,12,10.68431002,223,28.48748084,2201
LB057,Rose Canyon Rd.,Pinus Ponderosa,Low elev.,Divergent,17,12.279,9,9,14,10.77876106,291,23.69899829,2201
LB058,Rose Canyon Rd.,Pinus Ponderosa,Low elev.,Convergent,17,7.659,9,9,15,9.590163934,211,27.54928842,2201
LB059,Rose Canyon Rd.,Pinus Ponderosa,Low elev.,Divergent,15,6.883,10,10,13,19.99492386,687,99.81112887,2201
LB060,Rose Canyon Rd.,Pinus Ponderosa,Low elev.,Convergent,12,8.464,6,6,9,8.013232514,394,46.55009452,2201
