sample,range,burn_status,site,tree_number,morphotype,sample_number,description,morpho_tip_number,total_col_per_core,total_root_tips_per_core,dry_root_weight_per_core_grams,questionable_host,comment
NF11A,pinaleno,unburned,p1,NF11,1,NF11A1,"thick, white and fuzzy, orange undertone-possibly secondarily colonized",1,30,39,17.01,*,
NF11A,pinaleno,unburned,p1,NF11,2,NF11A2,"orange, relatively light, puffy, a little fuzzy, y-branching",1,30,39,17.01,,
NF11A,pinaleno,unburned,p1,NF11,3,NF11A3,"orange, puffy, lighter at tips, y-branching",11,30,39,17.01,,
NF11A,pinaleno,unburned,p1,NF11,4,NF11A4,"orange-brown, relatively thin, not puffy or fuzzy",3,30,39,17.01,*,
NF11A,pinaleno,unburned,p1,NF11,5,NF11A5,black fuzzy with black hyphae,2,30,39,17.01,,
NF11A,pinaleno,unburned,p1,NF11,6,NF11A6,"medium dark brown, orange tips, puffy and soft",9,30,39,17.01,,
NF11A,pinaleno,unburned,p1,NF11,7,NF11A7,"thin, brown/orange, white tips, dichotomously branching",3,30,39,17.01,,
NF11B,pinaleno,unburned,p1,NF11,1,NF11B1,"dark brown/black, branching fans out, dichotomously branching",2,15,18,2.73,,
NF11B,pinaleno,unburned,p1,NF11,2,NF11B2,"orange, lighter tips, puffy, dichotomously branching, no hyphae",3,15,18,2.73,,
NF11B,pinaleno,unburned,p1,NF11,3,NF11B3,"greyish orange, lighter tips, puffy/fuzzy, dichotomously branching",3,15,18,2.73,,
NF11B,pinaleno,unburned,p1,NF11,4,NF11B4,"white/yellow, extra-radical hyphae, puffy and fuzzy, black hyphae",2,15,18,2.73,,
NF11B,pinaleno,unburned,p1,NF11,5,NF11B5,"light orange, slightly white, tight branching, puffy and fuzzy",3,15,18,2.73,,
NF11B,pinaleno,unburned,p1,NF11,6,NF11B6,"brown, light yellow/white tips, chunky; branching at right angles",2,15,18,2.73,,
NF11C,pinaleno,unburned,p1,NF11,1,NF11C1,tan white with a white veil; dichotomously branching,95,98,102,3.15,,
NF11C,pinaleno,unburned,p1,NF11,2,NF11C2,grey tan with bulbous tips,3,98,102,3.15,,
NF12A,pinaleno,unburned,p1,NF12,1,NF12A1,tan with dark hyphae forming bands,152,313,324,5.32,,
