tree_number,site,range,fire history,elevation,lat,long,pH.su,EC.ds.m,ca.ppm,mg.ppm,na.ppm,k.ppm,zn.ppm,fe.ppm,mn.ppm,cu.ppm,ni.ppm,no3.n.ppm,po4.p.ppm,so4.s.ppm,b.ppm,esp,cec.meq.100g,Log.mg,Log.k,Log.mn,Princ.Component1
F1,sc3,Santa Catalina Mts.,Burned,2183.6,32.396191,-110.693853,5.9,0.08,650,95,16,77,9.7,49,17,1.3,0.055,1.6,8.6,2.4,0.55,1.6,4.3,4.553876892,4.343805422,2.833213344,0.966897355
F2,sc3,Santa Catalina Mts.,Burned,2183.6,32.396191,-110.693853,5.8,0.08,580,75,9,96,7,38,23,1.3,0.032,0,13,2.5,0.48,1,3.8,4.317488114,4.564348192,3.135494216,1.129749586
F3,sc3,Santa Catalina Mts.,Burned,2183.6,32.396191,-110.693853,5.3,0.04,310,42,10,46,2,31,43,1.1,0.026,2.8,8.3,3,0.49,2.1,2.1,3.737669618,3.828641397,3.761200116,-1.042589867
F8,sc4,Santa Catalina Mts.,Burned,2181.8,32.395285,-110.703927,5,0.05,330,55,11,75,2.3,38,26,0.76,0.037,3.5,8.3,2.1,0.46,2,2.3,4.007333185,4.317488114,3.258096538,-0.307022566
F9,sc4,Santa Catalina Mts.,Burned,2181.8,32.395285,-110.703927,4.1,0.09,370,56,11,100,5.6,150,28,7,0.21,1.5,8.4,7.2,0.61,1.8,2.6,4.025351691,4.605170186,3.33220451,-0.993749512
F10,sc4,Santa Catalina Mts.,Burned,2181.8,32.395285,-110.703927,5,0.1,380,54,21,74,2.8,83,37,1.1,0.054,0,10,3.3,0.44,3.5,2.6,3.988984047,4.304065093,3.610917913,-0.410370801
LB024,sc1,Santa Catalina Mts.,Unburned,2170,32.39001,-110.69557,5.1,0.04,230,37,6.8,35,2.5,42,30,0.92,0.04,0.0001,6.6,18,0.2,1.9,1.6,3.610917913,3.555348062,3.401197382,-2.54639049
LB055,sc2,Santa Catalina Mts.,Unburned,2201,32.39421,-110.69052,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,0.0001,6.5,19,0.2,1.8,1.9,3.663561646,4.532599493,2.772588722,-1.285971021
LB059,sc2,Santa Catalina Mts.,Unburned,2201,32.39421,-110.69052,5.1,0.03,420,61,10,90,4.4,71,36,1.4,0.1,0.0001,6.4,19,0.32,1.5,2.9,4.110873864,4.49980967,3.583518939,-1.295310606
LB057,sc2,Santa Catalina Mts.,Unburned,2201,32.39421,-110.69052,4.8,0.04,300,44,6.4,46,2,65,24,0.98,0.06,0.0001,4,19,0.27,1.4,2,3.784189634,3.828641397,3.17805383,-2.511773058
