Genus,Phyla,Range,Fire.history,Ab.rf
Cenococcum,Ascomyota,Pinaleno Mts.,FU,6
Tuber,Ascomyota,Pinaleno Mts.,FU,1
Inocybe,Basidiomycota,Pinaleno Mts.,FU,3
Laccaria,Basidiomycota,Pinaleno Mts.,FU,0
Lactarius,Basidiomycota,Pinaleno Mts.,FU,13
Rhizopogon,Basidiomycota,Pinaleno Mts.,FU,5
Russula,Basidiomycota,Pinaleno Mts.,FU,18
Sebacina,Basidiomycota,Pinaleno Mts.,FU,3
Sistotrema,Basidiomycota,Pinaleno Mts.,FU,0
Suillus,Basidiomycota,Pinaleno Mts.,FU,0
Tomentella,Basidiomycota,Pinaleno Mts.,FU,0
Cenococcum,Ascomyota,Pinaleno Mts.,FA,14
Tuber,Ascomyota,Pinaleno Mts.,FA,4
Inocybe,Basidiomycota,Pinaleno Mts.,FA,8
Laccaria,Basidiomycota,Pinaleno Mts.,FA,0
Lactarius,Basidiomycota,Pinaleno Mts.,FA,2
Rhizopogon,Basidiomycota,Pinaleno Mts.,FA,0
Russula,Basidiomycota,Pinaleno Mts.,FA,8
Sebacina,Basidiomycota,Pinaleno Mts.,FA,7
Sistotrema,Basidiomycota,Pinaleno Mts.,FA,0
Suillus,Basidiomycota,Pinaleno Mts.,FA,5
Tomentella,Basidiomycota,Pinaleno Mts.,FA,5
Cenococcum,Ascomyota,Santa Catalina Mts.,FU,18
Tuber,Ascomyota,Santa Catalina Mts.,FU,11
Inocybe,Basidiomycota,Santa Catalina Mts.,FU,4
Laccaria,Basidiomycota,Santa Catalina Mts.,FU,6
Lactarius,Basidiomycota,Santa Catalina Mts.,FU,1
Rhizopogon,Basidiomycota,Santa Catalina Mts.,FU,2
Russula,Basidiomycota,Santa Catalina Mts.,FU,12
Sebacina,Basidiomycota,Santa Catalina Mts.,FU,2
Sistotrema,Basidiomycota,Santa Catalina Mts.,FU,9
Suillus,Basidiomycota,Santa Catalina Mts.,FU,1
Tomentella,Basidiomycota,Santa Catalina Mts.,FU,10
Cenococcum,Ascomyota,Santa Catalina Mts.,FA,16
Tuber,Ascomyota,Santa Catalina Mts.,FA,1
Inocybe,Basidiomycota,Santa Catalina Mts.,FA,2
Laccaria,Basidiomycota,Santa Catalina Mts.,FA,0
Lactarius,Basidiomycota,Santa Catalina Mts.,FA,10
Rhizopogon,Basidiomycota,Santa Catalina Mts.,FA,4
Russula,Basidiomycota,Santa Catalina Mts.,FA,27
Sebacina,Basidiomycota,Santa Catalina Mts.,FA,3
Sistotrema,Basidiomycota,Santa Catalina Mts.,FA,3
Suillus,Basidiomycota,Santa Catalina Mts.,FA,3
Tomentella,Basidiomycota,Santa Catalina Mts.,FA,5
