Genus,Phyla,Range,Ab.range
Cenococcum,Ascomyota,PM,20
Tuber,Ascomyota,PM,5
Inocybe,Basidiomycota,PM,11
Laccaria,Basidiomycota,PM,0
Lactarius,Basidiomycota,PM,15
Rhizopogon,Basidiomycota,PM,5
Russula,Basidiomycota,PM,26
Sebacina,Basidiomycota,PM,10
Sistotrema,Basidiomycota,PM,0
Suillus,Basidiomycota,PM,5
Tomentella,Basidiomycota,PM,21
Cenococcum,Ascomyota,SCM,34
Tuber,Ascomyota,SCM,12
Inocybe,Basidiomycota,SCM,6
Laccaria,Basidiomycota,SCM,6
Lactarius,Basidiomycota,SCM,11
Rhizopogon,Basidiomycota,SCM,6
Russula,Basidiomycota,SCM,39
Sebacina,Basidiomycota,SCM,5
Sistotrema,Basidiomycota,SCM,12
Suillus,Basidiomycota,SCM,4
Tomentella,Basidiomycota,SCM,15
