"tree_number","site","site_old","burn_status","range","lat","long","easting","northing","elevation","stem.density","stem.richness","em.stem.density","em.stem.richness","rise","aspect.degrees","exposure","sign.forest.cut","soil.type.floor.condition","forest.coverage..proportion.","largest.dbh.cm","conspecific.distance.m","fire.scars","tree.species","dbh.cm","forest.status","understory.plants","Notes","BIO10","BIO11","BIO12","BIO10_red","BIO11_red","prec","Tmin","Tmax"
"F1","sc3","","burned","santa.catalina",32.396191,-110.693853,594457.5,3540872.5,2183.6,NA,NA,NA,NA,0.520833333,NA,"NW","No","Dry and burnt soil",0.45,NA,NA,"Yes","P. ponderosa",256.9,"pine-oak","Pine Seedlings, Locust Plants, Grasses","Thick pine litter and very few large rocks",189.863105755213,35.5904691936103,700.22637304955,18.9863105755213,3.55904691936103,700.22637304955,4.44762056146773,17.446583266748
"F2","sc3","","burned","santa.catalina",32.396191,-110.693853,594457.5,3540872.5,2183.6,NA,NA,NA,NA,0.4,NA,"NW","No","Dry",0.3,NA,NA,"Yes","P. ponderosa",206,"pine-oak","Pine Seedlings, Grasses, ","Pine litter and very rocky",189.863105755213,35.5904691936103,700.22637304955,18.9863105755213,3.55904691936103,700.22637304955,4.44762056146773,17.446583266748
"F3","sc3","","burned","santa.catalina",32.396191,-110.693853,594457.5,3540872.5,2183.6,NA,NA,NA,NA,0.314285714,NA,"NW","No","Dry and rocky",0.4,NA,NA,"Yes","P. ponderosa",303,"pine-oak","Small Shrubs and grasses (very few)","Rocky sandy soil (myca) and pine litter",189.863105755213,35.5904691936103,700.22637304955,18.9863105755213,3.55904691936103,700.22637304955,4.44762056146773,17.446583266748
"F4","sc3","","burned","santa.catalina",32.396191,-110.693853,594457.5,3540872.5,2183.6,NA,NA,NA,NA,0.403846154,NA,"NW","No","Dry, rocky, and sandy",0.45,NA,NA,"Yes","P. ponderosa",253,"pine-oak","Pine Seedling, Bracken fern, grasses","Thin litter large at the tree base",189.863105755213,35.5904691936103,700.22637304955,18.9863105755213,3.55904691936103,700.22637304955,4.44762056146773,17.446583266748
"F5","sc3","","burned","santa.catalina",32.396191,-110.693853,594457.5,3540872.5,2183.6,NA,NA,NA,NA,0.491803279,NA,"NW","No","Dry and rocky",0.45,NA,NA,"Yes","P. ponderosa",210,"pine-oak","Grass and pine seedlings","Rocky and some pine litter",189.863105755213,35.5904691936103,700.22637304955,18.9863105755213,3.55904691936103,700.22637304955,4.44762056146773,17.446583266748
"F6","sc4","","burned","santa.catalina",32.395285,-110.703927,594457.5,3540872.5,2181.8,NA,NA,NA,NA,0.166666667,NA,"SE","No","Dry on top, moisture beneath",0.35,NA,NA,"Yes","P. ponderosa",79,"pine-oak","None","Leaf liter abundant",196.045319999997,40.0740799999973,677.660252408014,19.6045319999997,4.00740799999973,677.660252408014,4.95358431019971,18.057289436733
"F7","sc4","","burned","santa.catalina",32.395285,-110.703927,594457.5,3540872.5,2181.8,NA,NA,NA,NA,0.266666667,NA,"SE","No","Rocky and dry ",0.3,NA,NA,"Yes","P. ponderosa",141,"pine-oak","Grass with mistletoe on tree","Rocks and leaf liter",196.045319999997,40.0740799999973,677.660252408014,19.6045319999997,4.00740799999973,677.660252408014,4.95358431019971,18.057289436733
"F8","sc4","","burned","santa.catalina",32.395285,-110.703927,594457.5,3540872.5,2181.8,NA,NA,NA,NA,0.4,NA,"SE","No","Dry and semi-rocky",0.3,NA,NA,"Yes","P. ponderosa",103,"pine-oak","Grass","Some mistletoe, leaf liter, bark liter",196.045319999997,40.0740799999973,677.660252408014,19.6045319999997,4.00740799999973,677.660252408014,4.95358431019971,18.057289436733
"F9","sc4","","burned","santa.catalina",32.395285,-110.703927,594457.5,3540872.5,2181.8,NA,NA,NA,NA,0.333333333,NA,"SE","No","Dry and big rocks",0.25,NA,NA,"Yes","P. ponderosa",NA,"pine-oak","Several grass plants, weeds, oak","Large rocks, pine cones, bark, large branch",196.045319999997,40.0740799999973,677.660252408014,19.6045319999997,4.00740799999973,677.660252408014,4.95358431019971,18.057289436733
"F10","sc4","","burned","santa.catalina",32.395285,-110.703927,594457.5,3540872.5,2181.8,NA,NA,NA,NA,0.366666667,NA,"SE","No","Dry",0.3,NA,NA,"Yes","P. ponderosa",197,"pine-oak","Oak near by","Pine cones, rocks, and leaf liter",196.045319999997,40.0740799999973,677.660252408014,19.6045319999997,4.00740799999973,677.660252408014,4.95358431019971,18.057289436733
"LB019","sc1","Parking pullout South of Rose Canyon","unburned","santa.catalina",32.39001,-110.69557,NA,NA,2170,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",194.229702880008,39.2582566400068,683.290634719971,19.4229702880008,3.92582566400068,683.290634719971,4.81169438266735,17.9076755000008
"LB020","sc1","Parking pullout South of Rose Canyon","unburned","santa.catalina",32.39001,-110.69557,NA,NA,2170,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",194.229702880008,39.2582566400068,683.290634719971,19.4229702880008,3.92582566400068,683.290634719971,4.81169438266735,17.9076755000008
"LB021","sc1","Parking pullout South of Rose Canyon","unburned","santa.catalina",32.39001,-110.69557,NA,NA,2170,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",194.229702880008,39.2582566400068,683.290634719971,19.4229702880008,3.92582566400068,683.290634719971,4.81169438266735,17.9076755000008
"LB022","sc1","Parking pullout South of Rose Canyon","unburned","santa.catalina",32.39001,-110.69557,NA,NA,2170,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",194.229702880008,39.2582566400068,683.290634719971,19.4229702880008,3.92582566400068,683.290634719971,4.81169438266735,17.9076755000008
"LB023","sc1","Parking pullout South of Rose Canyon","unburned","santa.catalina",32.39001,-110.69557,NA,NA,2170,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",194.229702880008,39.2582566400068,683.290634719971,19.4229702880008,3.92582566400068,683.290634719971,4.81169438266735,17.9076755000008
"LB024","sc1","Parking pullout South of Rose Canyon","unburned","santa.catalina",32.39001,-110.69557,NA,NA,2170,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",194.229702880008,39.2582566400068,683.290634719971,19.4229702880008,3.92582566400068,683.290634719971,4.81169438266735,17.9076755000008
"LB055","sc2","Rose Canyon Rd.","unburned","santa.catalina",32.39421,-110.69052,NA,NA,2201,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",186.467049280007,33.0072358400056,712.121616319975,18.6467049280007,3.30072358400056,712.121616319975,4.18324536266724,17.1204530000007
"LB056","sc2","Rose Canyon Rd.","unburned","santa.catalina",32.39421,-110.69052,NA,NA,2201,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",186.467049280007,33.0072358400056,712.121616319975,18.6467049280007,3.30072358400056,712.121616319975,4.18324536266724,17.1204530000007
"LB057","sc2","Rose Canyon Rd.","unburned","santa.catalina",32.39421,-110.69052,NA,NA,2201,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",186.467049280007,33.0072358400056,712.121616319975,18.6467049280007,3.30072358400056,712.121616319975,4.18324536266724,17.1204530000007
"LB058","sc2","Rose Canyon Rd.","unburned","santa.catalina",32.39421,-110.69052,NA,NA,2201,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",186.467049280007,33.0072358400056,712.121616319975,18.6467049280007,3.30072358400056,712.121616319975,4.18324536266724,17.1204530000007
"LB059","sc2","Rose Canyon Rd.","unburned","santa.catalina",32.39421,-110.69052,NA,NA,2201,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",186.467049280007,33.0072358400056,712.121616319975,18.6467049280007,3.30072358400056,712.121616319975,4.18324536266724,17.1204530000007
"LB060","sc2","Rose Canyon Rd.","unburned","santa.catalina",32.39421,-110.69052,NA,NA,2201,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","",NA,"pine-oak","","",186.467049280007,33.0072358400056,712.121616319975,18.6467049280007,3.30072358400056,712.121616319975,4.18324536266724,17.1204530000007
"F11","p3","","burned","pinaleno",32.73569,-109.96309,NA,NA,2134,5,3,4,2,0.852941176,5,"N","No","Moist, rocky",0.6,126,8.05,"Yes","P. ponderosa",126,"pine-Doug fir",NA,"blackjack, less than 100 years old",193.227688799998,29.7173332799994,582.09897824,19.3227688799998,2.97173332799994,582.09897824,3.06930258666656,18.6696118426666
"F12","p3","","burned","pinaleno",32.73569,-109.96309,NA,NA,2134,2,2,2,2,0.638888889,20,"N","No","Moist, rocky",0.85,142,4.34,"Yes","P. ponderosa",142,"pine-Doug fir",NA,"",193.227688799998,29.7173332799994,582.09897824,19.3227688799998,2.97173332799994,582.09897824,3.06930258666656,18.6696118426666
"F13","p3","","burned","pinaleno",32.73569,-109.96309,NA,NA,2134,2,2,1,1,0.555555556,19,"N","No","Moist, rocky",0.55,159,4.34,"Yes","P. ponderosa",159,"pine-Doug fir",NA,"",193.227688799998,29.7173332799994,582.09897824,19.3227688799998,2.97173332799994,582.09897824,3.06930258666656,18.6696118426666
"F14","p3","","burned","pinaleno",32.73569,-109.96309,NA,NA,2134,3,3,1,1,0.694444444,17,"N","No","Moist, rocky",0.66,186,3.47,"Yes","P. ponderosa",186,"pine-Doug fir",NA,"",193.227688799998,29.7173332799994,582.09897824,19.3227688799998,2.97173332799994,582.09897824,3.06930258666656,18.6696118426666
"F15","p3","","burned","pinaleno",32.73569,-109.96309,NA,NA,2134,1,1,1,1,0.576923077,13,"N","No","Moist, rocky",0.55,186,2.71,"Yes","P. ponderosa",186,"pine-Doug fir",NA,"",193.227688799998,29.7173332799994,582.09897824,19.3227688799998,2.97173332799994,582.09897824,3.06930258666656,18.6696118426666
"F16","p4","","burned","pinaleno",32.73434,-109.85724,NA,NA,2057,2,2,2,2,0.473684211,40,"N","No","Moist, rocky",0.3,179,6.03,"Yes","P. ponderosa",179,"pine-Doug fir","Quercus hypoleucoides","All trees sampled at this site > 10m from Douglas Fir",188.138702079998,25.6473510399982,596.40599168001,18.8138702079998,2.56473510399982,596.40599168001,2.52647095466651,18.2865464319998
"F17","p4","","burned","pinaleno",32.73434,-109.85724,NA,NA,2057,1,1,1,1,0.290322581,193,"S","No","Moist, rocky",0.74,227,6.17,"Yes","P. ponderosa",227,"pine-Doug fir","Quercus hypoleucoides","All trees sampled at this site > 10m from Douglas Fir",188.138702079998,25.6473510399982,596.40599168001,18.8138702079998,2.56473510399982,596.40599168001,2.52647095466651,18.2865464319998
"F18","p4","","burned","pinaleno",32.73434,-109.85724,NA,NA,2057,1,1,1,1,0.625,339,"N","No","Moist, rocky",0.6,167,3.71,"Yes","P. ponderosa",167,"pine-Doug fir","Quercus hypoleucoides","All trees sampled at this site > 10m from Douglas Fir",188.138702079998,25.6473510399982,596.40599168001,18.8138702079998,2.56473510399982,596.40599168001,2.52647095466651,18.2865464319998
"F19","p4","","burned","pinaleno",32.73434,-109.85724,NA,NA,2057,1,1,1,1,0.75,39,"N","No","Moist, rocky",0.55,178.5,3.13,"Yes","P. ponderosa",178.5,"pine-Doug fir","Quercus hypoleucoides","All trees sampled at this site > 10m from Douglas Fir",188.138702079998,25.6473510399982,596.40599168001,18.8138702079998,2.56473510399982,596.40599168001,2.52647095466651,18.2865464319998
