"","soil_trait","stat","df","p"
"1","pH.su",0.0259128386336902,1,0.872113364912113
"2","EC.ds.m",1.70048309178744,1,0.192224811362398
"3","ca.ppm",1.85906432748538,1,0.172732829130552
"4","mg.ppm",2.08421052631579,1,0.148829147839297
"5","na.ppm",3.85797101449275,1,0.0495101673733431
"6","k.ppm",1.26525821596244,1,0.260658123811313
"7","zn.ppm",1.274231678487,1,0.258974318494588
"8","fe.ppm",0.645539906103288,1,0.421711807526883
"9","mn.ppm",0.102564102564102,1,0.748774041706548
"10","cu.ppm",0.650118203309694,1,0.42007042195905
"11","ni.ppm",1.64102564102564,1,0.200184804177579
"12","no3.n.ppm",3.85797101449275,1,0.0495101673733431
"13","po4.p.ppm",3.70526315789474,1,0.0542411175597709
"14","so4.s.ppm",6.98757763975155,1,0.00820773610734886
"15","b.ppm",8.33684210526316,1,0.0038849066221195
"16","esp",0.522887323943659,1,0.469612623850268
"17","cec.meq.100g",2.08421052631579,1,0.148829147839297
